Time Elapsed,MaxAngle,Delay Time,Servo Position,Contact Value,Hand Position
0:0:11:601,110,200,16,19,20,
0:0:11:614,110,200,11,16,20,
0:0:11:627,110,200,10,34,20,
0:0:11:639,110,200,7,12,20,
0:0:11:653,110,200,3,15,20,
0:0:11:665,110,200,3,28,20,
0:0:11:677,110,200,1,12,20,
0:0:11:691,110,200,0,12,20,
0:0:11:703,110,200,0,32,20,
0:0:11:715,110,200,0,12,20,
0:0:11:727,110,200,0,12,20,
0:0:11:741,110,200,0,17,20,
0:0:11:753,110,200,0,12,23,
0:0:11:765,110,200,0,19,26,
0:0:11:778,110,200,0,19,27,
0:0:11:791,110,200,0,16,31,
0:0:11:803,110,200,0,14,30,
0:0:11:815,110,200,0,17,33,
0:0:11:828,110,200,0,13,34,
0:0:11:841,110,200,0,14,35,
0:0:11:853,110,200,0,14,37,
0:0:11:866,110,200,0,13,38,
0:0:11:878,110,200,0,13,38,
0:0:11:890,110,200,0,12,38,
0:0:11:904,110,200,0,11,37,
0:0:11:916,110,200,0,17,36,
0:0:11:928,110,200,0,10,34,
0:0:11:940,110,200,0,13,32,
0:0:11:954,110,200,0,7,27,
0:0:11:966,110,200,5,7,25,
0:0:11:978,110,200,15,7,23,
0:0:11:991,110,200,24,6,20,
0:0:12:4,110,200,39,32,21,
0:0:12:16,110,200,48,24,21,
0:0:12:28,110,200,59,28,21,
0:0:12:42,110,200,68,16,20,
0:0:12:54,110,200,75,17,20,
0:0:12:66,110,200,84,16,20,
0:0:12:80,110,200,92,19,21,
0:0:12:92,110,200,97,10,24,
0:0:12:105,110,200,100,10,26,
0:0:12:118,110,200,100,17,27,
0:0:12:130,110,200,98,9,31,
0:0:12:143,110,200,91,17,29,
0:0:12:155,110,200,83,12,33,
0:0:12:169,110,200,67,41,36,
0:0:12:181,110,200,51,32,35,
0:0:12:193,110,200,37,28,36,
0:0:12:207,110,200,21,22,37,
0:0:12:219,110,200,21,16,40,
0:0:12:232,110,200,8,12,36,
0:0:12:244,110,200,5,12,37,
0:0:12:257,110,200,2,0,38,
0:0:12:270,110,200,2,6,36,
0:0:12:282,110,200,1,11,38,
0:0:12:296,110,200,2,4,36,
0:0:12:308,110,200,8,4,35,
0:0:12:320,110,200,17,1,30,
0:0:12:334,110,200,26,0,27,
0:0:12:346,110,200,40,24,21,
0:0:12:358,110,200,47,17,20,
0:0:12:371,110,200,57,21,20,
0:0:12:384,110,200,71,13,20,
0:0:12:397,110,200,77,14,20,
0:0:12:408,110,200,84,15,20,
0:0:12:422,110,200,91,13,20,
0:0:12:434,110,200,98,12,20,
0:0:12:447,110,200,97,10,20,
0:0:12:460,110,200,98,2,20,
0:0:12:472,110,200,100,0,20,
0:0:12:485,110,200,97,5,21,
0:0:12:497,110,200,98,3,26,
0:0:12:510,110,200,97,0,27,
0:0:12:523,110,200,92,0,29,
0:0:12:535,110,200,80,0,33,
0:0:12:548,110,200,65,26,31,
0:0:12:561,110,200,43,0,36,
0:0:12:573,110,200,24,3,38,
0:0:12:587,110,200,12,9,38,
0:0:12:599,110,200,4,6,39,
0:0:12:611,110,200,0,8,39,
0:0:12:624,110,200,0,9,39,
0:0:12:638,110,200,0,16,40,
0:0:12:651,110,200,0,11,38,
0:0:12:663,110,200,0,8,39,
0:0:12:677,110,200,0,3,41,
0:0:12:690,110,200,0,0,39,
0:0:12:703,110,200,0,7,40,
0:0:12:716,110,200,1,2,41,
0:0:12:729,110,200,12,0,40,
0:0:12:742,110,200,33,0,39,
0:0:12:755,110,200,50,32,37,
0:0:12:768,110,200,57,23,37,
0:0:12:781,110,200,70,15,32,
0:0:12:796,110,200,84,15,29,
0:0:12:809,110,200,92,15,27,
0:0:12:821,110,200,99,11,25,
0:0:12:834,110,200,105,10,20,
0:0:12:847,110,200,107,16,20,
0:0:12:860,110,200,108,9,20,
0:0:12:872,110,200,107,0,20,
0:0:12:884,110,200,107,8,20,
0:0:12:898,110,200,108,1,20,
0:0:12:910,110,200,108,0,20,
0:0:12:923,110,200,109,84,20,
0:0:12:936,110,200,109,116,20,
0:0:12:948,110,200,109,129,20,
0:0:12:961,110,200,109,168,20,
0:0:12:974,110,200,105,179,20,
0:0:12:987,110,200,102,173,22,
0:0:12:999,110,200,91,128,20,
0:0:13:12,110,200,76,119,21,
0:0:13:25,110,200,62,134,20,
0:0:13:38,110,200,47,115,21,
0:0:13:50,110,200,27,74,21,
0:0:13:63,110,200,15,8,21,
0:0:13:76,110,200,8,22,20,
0:0:13:88,110,200,2,31,20,
0:0:13:101,110,200,0,40,21,
0:0:13:114,110,200,0,21,22,
0:0:13:126,110,200,0,18,20,
0:0:13:138,110,200,0,20,20,
0:0:13:151,110,200,0,40,20,
0:0:13:163,110,200,0,9,21,
0:0:13:176,110,200,0,16,23,
0:0:13:189,110,200,0,23,20,
0:0:13:201,110,200,3,8,20,
0:0:13:213,110,200,2,10,20,
0:0:13:227,110,200,3,6,20,
0:0:13:239,110,200,3,1,20,
0:0:13:251,110,200,3,5,22,
0:0:13:263,110,200,3,5,20,
0:0:13:276,110,200,4,5,20,
0:0:13:289,110,200,2,9,20,
0:0:13:301,110,200,2,7,20,
0:0:13:314,110,200,2,2,20,
0:0:13:327,110,200,5,2,20,
0:0:13:339,110,200,3,3,24,
0:0:13:351,110,200,2,16,24,
0:0:13:364,110,200,2,2,28,
0:0:13:377,110,200,2,1,35,
0:0:13:389,110,200,6,3,34,
0:0:13:402,110,200,5,4,38,
0:0:13:415,110,200,5,4,43,
0:0:13:428,110,200,3,0,42,
0:0:13:442,110,200,3,8,43,
0:0:13:455,110,200,1,0,41,
0:0:13:467,110,200,0,0,43,
0:0:13:480,110,200,3,0,44,
0:0:13:494,110,200,2,7,46,
0:0:13:507,110,200,1,0,45,
0:0:13:520,110,200,1,0,43,
0:0:13:533,110,200,0,1,44,
0:0:13:546,110,200,0,0,45,
0:0:13:559,110,200,0,0,44,
0:0:13:573,110,200,7,0,43,
0:0:13:586,110,200,13,16,43,
0:0:13:599,110,200,24,19,43,
0:0:13:613,110,200,47,18,43,
0:0:13:626,110,200,61,18,43,
0:0:13:639,110,200,78,11,44,
0:0:13:651,110,200,93,8,42,
0:0:13:665,110,200,101,9,45,
0:0:13:678,110,200,106,6,43,
0:0:13:691,110,200,109,5,42,
0:0:13:705,110,200,110,9,41,
0:0:13:718,110,200,110,0,41,
0:0:13:731,110,200,110,6,39,
0:0:13:744,110,200,110,20,36,
0:0:13:756,110,200,110,1,31,
0:0:13:769,110,200,110,0,26,
0:0:13:782,110,200,110,103,21,
0:0:13:794,110,200,110,124,20,
0:0:13:807,110,200,110,125,20,
0:0:13:819,110,200,110,124,20,
0:0:13:833,110,200,110,125,20,
0:0:13:845,110,200,110,124,20,
0:0:13:857,110,200,110,125,20,
0:0:13:871,110,200,110,124,20,
0:0:13:883,110,200,110,121,20,
0:0:13:896,110,200,110,124,20,
0:0:13:908,110,200,110,124,20,
0:0:13:921,110,200,110,124,20,
0:0:13:934,110,200,110,125,21,
0:0:13:946,110,200,109,125,20,
0:0:13:960,110,200,103,124,20,
0:0:13:972,110,200,89,123,20,
0:0:13:985,110,200,69,147,20,
0:0:13:998,110,200,45,133,20,
0:0:14:11,110,200,25,112,20,
0:0:14:23,110,200,11,112,20,
0:0:14:35,110,200,3,66,20,
0:0:14:49,110,200,0,48,21,
0:0:14:61,110,200,0,48,21,
0:0:14:73,110,200,0,55,22,
0:0:14:86,110,200,0,28,20,
0:0:14:99,110,200,0,26,20,
0:0:14:111,110,200,0,37,20,
0:0:14:124,110,200,0,18,21,
0:0:14:136,110,200,0,21,20,
0:0:14:148,110,200,1,24,21,
0:0:14:161,110,200,1,16,22,
0:0:14:174,110,200,0,18,21,
0:0:14:186,110,200,0,15,22,
0:0:14:199,110,200,0,26,20,
0:0:14:212,110,200,0,13,21,
0:0:14:224,110,200,0,8,20,
0:0:14:236,110,200,0,4,21,
0:0:14:248,110,200,0,11,20,
0:0:14:261,110,200,1,11,22,
0:0:14:274,110,200,2,17,22,
0:0:14:286,110,200,5,3,22,
0:0:14:299,110,200,4,4,20,
0:0:14:311,110,200,3,5,21,
0:0:14:324,110,200,2,63,20,
0:0:14:337,110,200,2,0,21,
0:0:14:349,110,200,1,0,20,
0:0:14:362,110,200,2,1,21,
0:0:14:374,110,200,5,0,20,
0:0:14:387,110,200,5,19,20,
0:0:14:400,110,200,7,0,20,
0:0:14:412,110,200,5,1,21,
0:0:14:425,110,200,5,7,20,
0:0:14:437,110,200,3,8,20,
0:0:14:450,110,200,3,1,20,
0:0:14:462,110,200,2,1,20,
0:0:14:475,110,200,4,0,22,
0:0:14:488,110,200,7,0,23,
0:0:14:500,110,200,8,1,20,
0:0:14:513,110,200,6,17,22,
0:0:14:526,110,200,6,16,21,
0:0:14:538,110,200,4,7,22,
0:0:14:551,110,200,3,1,21,
0:0:14:564,110,200,2,0,21,
0:0:14:576,110,200,2,0,24,
0:0:14:588,110,200,2,3,20,
0:0:14:601,110,200,1,1,20,
0:0:14:614,110,200,0,3,22,
0:0:14:626,110,200,2,4,22,
0:0:14:639,110,200,1,7,21,
0:0:14:651,110,200,0,9,20,
0:0:14:664,110,200,0,6,21,
0:0:14:676,110,200,0,0,20,
0:0:14:689,110,200,3,0,22,
0:0:14:702,110,200,8,1,22,
0:0:14:714,110,200,6,0,20,
0:0:14:727,110,200,8,19,24,
0:0:14:739,110,200,8,3,20,
0:0:14:752,110,200,8,1,23,
0:0:14:765,110,200,7,3,21,
0:0:14:777,110,200,6,7,22,
0:0:14:790,110,200,12,0,20,
0:0:14:802,110,200,8,0,23,
0:0:14:815,110,200,5,0,20,
0:0:14:828,110,200,7,0,20,
0:0:14:840,110,200,8,3,21,
0:0:14:853,110,200,6,0,21,
0:0:14:865,110,200,4,17,20,
0:0:14:878,110,200,5,8,20,
0:0:14:891,110,200,3,0,22,
0:0:14:903,110,200,4,0,20,
0:0:14:916,110,200,7,0,23,
0:0:14:928,110,200,5,0,23,
0:0:14:941,110,200,11,0,20,
0:0:14:954,110,200,8,9,20,
0:0:14:966,110,200,10,0,21,
0:0:14:979,110,200,9,0,21,
0:0:14:992,110,200,9,8,22,
0:0:15:4,110,200,6,0,21,
0:0:15:16,110,200,9,0,20,
0:0:15:29,110,200,6,1,21,
0:0:15:41,110,200,3,0,20,
0:0:15:54,110,200,4,0,20,
0:0:15:67,110,200,4,16,21,
0:0:15:79,110,200,2,0,21,
0:0:15:91,110,200,1,0,21,
0:0:15:105,110,200,4,25,22,
0:0:15:117,110,200,3,3,21,
0:0:15:129,110,200,7,0,20,
0:0:15:142,110,200,11,0,21,
0:0:15:155,110,200,8,0,20,
0:0:15:167,110,200,5,3,20,
0:0:15:179,110,200,5,1,20,
0:0:15:192,110,200,4,0,20,
0:0:15:204,110,200,5,0,22,
0:0:15:217,110,200,6,0,21,
0:0:15:229,110,200,4,0,20,
0:0:15:242,110,200,4,0,20,
0:0:15:255,110,200,3,0,21,
0:0:15:267,110,200,1,9,21,
0:0:15:280,110,200,2,0,21,
0:0:15:293,110,200,3,0,23,
0:0:15:305,110,200,3,1,22,
0:0:15:318,110,200,6,0,22,
0:0:15:330,110,200,6,0,22,
0:0:15:343,110,200,4,3,20,
0:0:15:355,110,200,4,0,20,
0:0:15:368,110,200,3,0,21,
0:0:15:381,110,200,1,0,22,
0:0:15:393,110,200,0,0,20,
0:0:15:406,110,200,0,0,20,
0:0:15:418,110,200,3,3,20,
0:0:15:431,110,200,4,0,22,
0:0:15:443,110,200,3,0,21,
0:0:15:456,110,200,2,0,21,
0:0:15:469,110,200,3,0,21,
0:0:15:481,110,200,3,8,21,
0:0:15:494,110,200,3,0,21,
0:0:15:506,110,200,8,0,20,
0:0:15:519,110,200,10,0,22,
0:0:15:532,110,200,10,2,20,
0:0:15:544,110,200,11,0,21,
0:0:15:556,110,200,7,0,22,
0:0:15:569,110,200,4,0,20,
0:0:15:582,110,200,4,0,20,
0:0:15:594,110,200,5,1,22,
0:0:15:607,110,200,3,0,21,
0:0:15:620,110,200,2,0,21,
0:0:15:632,110,200,2,0,21,
0:0:15:644,110,200,4,7,20,
0:0:15:656,110,200,4,0,22,
0:0:15:669,110,200,4,0,22,
0:0:15:682,110,200,5,0,21,
0:0:15:694,110,200,5,0,20,
0:0:15:707,110,200,5,0,21,
0:0:15:720,110,200,3,3,21,
0:0:15:731,110,200,5,0,20,
0:0:15:745,110,200,4,0,21,
0:0:15:757,110,200,3,0,21,
0:0:15:769,110,200,6,0,22,
0:0:15:782,110,200,4,0,20,
0:0:15:795,110,200,2,0,23,
0:0:15:807,110,200,5,0,20,
0:0:15:819,110,200,5,0,22,
0:0:15:833,110,200,4,1,21,
0:0:15:845,110,200,5,0,20,
0:0:15:857,110,200,3,0,21,
0:0:15:869,110,200,5,0,20,
0:0:15:882,110,200,7,0,20,
0:0:15:895,110,200,6,3,22,
0:0:15:907,110,200,4,0,20,
0:0:15:920,110,200,5,0,21,
0:0:15:933,110,200,4,0,20,
0:0:15:945,110,200,2,0,21,
0:0:15:958,110,200,3,0,20,
0:0:15:970,110,200,4,0,20,
0:0:15:983,110,200,6,0,21,
0:0:15:995,110,200,4,0,22,
0:0:16:8,110,200,8,0,21,
0:0:16:22,110,200,6,0,23,
0:0:16:35,110,200,7,0,22,
0:0:16:48,110,200,7,0,21,
0:0:16:60,110,200,4,0,20,
0:0:16:72,110,200,4,0,21,
0:0:16:86,110,200,3,0,20,
0:0:16:98,110,200,1,0,23,
0:0:16:110,110,200,4,0,22,
0:0:16:122,110,200,3,1,21,
0:0:16:136,110,200,3,0,21,
0:0:16:148,110,200,3,0,22,
0:0:16:160,110,200,3,0,20,
0:0:16:173,110,200,2,0,22,
0:0:16:186,110,200,1,0,21,
0:0:16:198,110,200,2,0,21,
0:0:16:210,110,200,5,0,20,
0:0:16:223,110,200,5,0,20,
0:0:16:235,110,200,9,0,20,
0:0:16:248,110,200,11,0,21,
0:0:16:261,110,200,9,0,20,
0:0:16:273,110,200,6,3,21,
0:0:16:286,110,200,5,0,20,
0:0:16:299,110,200,3,0,20,
0:0:16:311,110,200,6,0,20,
0:0:16:323,110,200,8,0,22,
0:0:16:336,110,200,7,0,20,
0:0:16:349,110,200,7,0,22,
0:0:16:361,110,200,9,0,20,
0:0:16:374,110,200,5,0,21,
0:0:16:387,110,200,6,0,21,
0:0:16:399,110,200,6,0,20,
0:0:16:412,110,200,5,0,23,
0:0:16:424,110,200,3,1,20,
0:0:16:437,110,200,2,0,21,
0:0:16:449,110,200,1,0,20,
0:0:16:462,110,200,2,0,20,
0:0:16:475,110,200,1,3,22,
0:0:16:487,110,200,2,0,23,
0:0:16:500,110,200,2,0,20,
0:0:16:513,110,200,1,0,22,
0:0:16:525,110,200,0,0,21,
0:0:16:537,110,200,4,0,22,
0:0:16:550,110,200,2,0,20,
0:0:16:563,110,200,5,0,20,
0:0:16:575,110,200,4,0,22,
0:0:16:588,110,200,4,0,20,
0:0:16:601,110,200,4,0,22,
0:0:16:613,110,200,3,0,20,
0:0:16:625,110,200,7,0,21,
0:0:16:637,110,200,5,0,22,
0:0:16:650,110,200,4,0,21,
0:0:16:663,110,200,4,7,21,
0:0:16:675,110,200,2,0,21,
0:0:16:688,110,200,4,0,20,
0:0:16:701,110,200,8,0,21,
0:0:16:713,110,200,6,0,21,
0:0:16:726,110,200,8,1,20,
0:0:16:738,110,200,8,0,20,
0:0:16:751,110,200,8,0,20,
0:0:16:763,110,200,5,0,21,
0:0:16:776,110,200,3,0,20,
0:0:16:789,110,200,5,3,21,
0:0:16:801,110,200,3,3,20,
0:0:16:814,110,200,5,0,20,
0:0:16:826,110,200,4,0,21,
0:0:16:839,110,200,4,0,20,
0:0:16:851,110,200,6,0,21,
0:0:16:864,110,200,6,2,23,
0:0:16:877,110,200,5,0,21,
0:0:16:889,110,200,6,0,21,
0:0:16:902,110,200,3,0,21,
0:0:16:914,110,200,3,0,21,
0:0:16:927,110,200,4,0,21,
0:0:16:940,110,200,2,0,21,
0:0:16:952,110,200,1,1,21,
0:0:16:965,110,200,1,25,21,
0:0:16:977,110,200,2,12,20,
0:0:16:990,110,200,1,0,20,
0:0:17:3,110,200,2,0,22,
0:0:17:15,110,200,2,0,21,
0:0:17:28,110,200,1,0,20,
0:0:17:40,110,200,2,0,22,
0:0:17:52,110,200,1,0,20,
0:0:17:65,110,200,2,0,20,
0:0:17:78,110,200,7,0,22,
0:0:17:90,110,200,7,0,20,
0:0:17:102,110,200,6,3,21,
0:0:17:115,110,200,7,0,20,
0:0:17:127,110,200,6,1,21,
0:0:17:140,110,200,5,0,20,
0:0:17:153,110,200,5,0,22,
0:0:17:165,110,200,5,0,20,
0:0:17:178,110,200,5,0,21,
0:0:17:190,110,200,3,0,22,
0:0:17:203,110,200,2,0,22,
0:0:17:216,110,200,4,0,23,
0:0:17:228,110,200,4,0,20,
0:0:17:241,110,200,3,0,21,
0:0:17:254,110,200,6,0,21,
0:0:17:266,110,200,4,0,22,
0:0:17:278,110,200,2,0,20,
0:0:17:291,110,200,5,3,22,
0:0:17:304,110,200,3,0,20,
0:0:17:316,110,200,3,0,21,
0:0:17:329,110,200,3,0,23,
0:0:17:342,110,200,3,0,23,
0:0:17:354,110,200,2,0,20,
0:0:17:367,110,200,4,3,20,
0:0:17:379,110,200,3,0,21,
0:0:17:392,110,200,3,0,22,
0:0:17:404,110,200,6,0,20,
0:0:17:417,110,200,8,0,23,
0:0:17:430,110,200,11,0,20,
0:0:17:442,110,200,8,3,21,
0:0:17:455,110,200,7,0,22,
0:0:17:468,110,200,6,0,21,
0:0:17:480,110,200,7,0,20,
0:0:17:492,110,200,4,0,22,
0:0:17:506,110,200,6,0,21,
0:0:17:518,110,200,5,1,21,
0:0:17:530,110,200,4,3,20,
0:0:17:543,110,200,8,0,22,
0:0:17:556,110,200,11,16,23,
0:0:17:568,110,200,7,0,21,
0:0:17:581,110,200,6,3,20,
0:0:17:594,110,200,5,0,22,
0:0:17:606,110,200,6,0,22,
0:0:17:618,110,200,3,0,22,
0:0:17:631,110,200,8,0,20,
0:0:17:644,110,200,6,0,20,
0:0:17:656,110,200,5,0,22,
0:0:17:669,110,200,7,0,21,
0:0:17:682,110,200,6,0,22,
0:0:17:694,110,200,3,0,23,
0:0:17:707,110,200,6,0,22,
0:0:17:720,110,200,6,0,21,
0:0:17:732,110,200,5,0,20,
0:0:17:744,110,200,3,0,22,
0:0:17:757,110,200,6,0,20,
0:0:17:770,110,200,9,0,20,
0:0:17:782,110,200,8,0,22,
0:0:17:795,110,200,5,0,21,
0:0:17:808,110,200,8,0,21,
0:0:17:820,110,200,8,0,20,
0:0:17:832,110,200,8,0,23,
0:0:17:846,110,200,6,1,21,
0:0:17:858,110,200,4,0,20,
0:0:17:870,110,200,6,0,21,
0:0:17:883,110,200,5,0,23,
0:0:17:896,110,200,6,0,20,
0:0:17:908,110,200,11,0,22,
0:0:17:921,110,200,11,0,22,
0:0:17:934,110,200,9,0,21,
0:0:17:946,110,200,6,16,21,
0:0:17:958,110,200,7,1,23,
0:0:17:971,110,200,4,0,20,
0:0:17:983,110,200,2,0,20,
0:0:17:996,110,200,5,0,24,
0:0:18:9,110,200,5,0,20,
0:0:18:21,110,200,4,0,21,
0:0:18:33,110,200,3,0,21,
0:0:18:46,110,200,8,0,20,
0:0:18:59,110,200,7,8,22,
0:0:18:71,110,200,4,0,20,
0:0:18:83,110,200,5,0,20,
0:0:18:97,110,200,9,0,22,
0:0:18:109,110,200,5,0,23,
0:0:18:121,110,200,7,0,20,
0:0:18:135,110,200,9,0,22,
0:0:18:147,110,200,7,0,20,
0:0:18:159,110,200,6,0,20,
0:0:18:171,110,200,10,0,21,
0:0:18:185,110,200,6,0,21,
0:0:18:197,110,200,4,1,20,
0:0:18:209,110,200,10,0,22,
0:0:18:223,110,200,7,0,21,
0:0:18:235,110,200,5,0,20,
0:0:18:247,110,200,6,0,20,
0:0:18:259,110,200,4,0,22,
0:0:18:273,110,200,5,0,21,
0:0:18:285,110,200,4,26,20,
0:0:18:297,110,200,2,0,22,
0:0:18:311,110,200,5,0,22,
0:0:18:323,110,200,9,0,21,
0:0:18:335,110,200,6,0,22,
0:0:18:348,110,200,8,0,20,
0:0:18:360,110,200,6,0,20,
0:0:18:373,110,200,3,0,21,
0:0:18:385,110,200,3,8,22,
0:0:18:398,110,200,3,0,20,
0:0:18:411,110,200,2,0,23,
0:0:18:423,110,200,5,0,22,
0:0:18:436,110,200,5,0,21,
0:0:18:448,110,200,3,16,21,
0:0:18:461,110,200,2,0,23,
0:0:18:473,110,200,5,0,21,
0:0:18:486,110,200,4,0,20,
0:0:18:499,110,200,3,3,22,
0:0:18:511,110,200,6,0,21,
0:0:18:524,110,200,8,0,20,
0:0:18:536,110,200,6,0,20,
0:0:18:549,110,200,8,8,21,
0:0:18:562,110,200,6,0,22,
0:0:18:574,110,200,3,17,20,
0:0:18:587,110,200,3,0,21,
0:0:18:599,110,200,5,3,20,
0:0:18:612,110,200,3,0,20,
0:0:18:625,110,200,8,0,21,
0:0:18:637,110,200,10,0,20,
0:0:18:650,110,200,8,16,20,
0:0:18:663,110,200,7,3,22,
0:0:18:675,110,200,11,0,21,
0:0:18:688,110,200,8,0,21,
0:0:18:701,110,200,5,0,22,
0:0:18:713,110,200,7,3,20,
0:0:18:725,110,200,6,0,21,
0:0:18:738,110,200,3,0,21,
0:0:18:751,110,200,2,0,20,
0:0:18:763,110,200,3,1,23,
0:0:18:776,110,200,5,1,20,
0:0:18:789,110,200,3,0,21,
0:0:18:801,110,200,4,0,20,
0:0:18:813,110,200,3,0,20,
0:0:18:827,110,200,1,0,20,
0:0:18:839,110,200,2,0,20,
0:0:18:851,110,200,1,0,22,
0:0:18:864,110,200,0,0,24,
0:0:18:877,110,200,4,8,21,
0:0:18:889,110,200,4,0,20,
0:0:18:902,110,200,4,0,20,
0:0:18:914,110,200,7,0,20,
0:0:18:926,110,200,5,7,20,
0:0:2:176,180,500,2,0,46,
0:0:2:189,180,500,5,0,43,
0:0:2:202,180,500,5,3,44,
0:0:2:215,180,500,3,0,45,
0:0:2:229,180,500,2,0,44,
0:0:2:241,180,500,1,0,45,
0:0:2:254,180,500,4,0,44,
0:0:2:268,180,500,2,2,45,
0:0:2:281,180,500,1,0,42,
0:0:2:293,180,500,1,0,43,
0:0:2:307,180,500,0,1,44,
0:0:2:320,180,500,0,0,42,
0:0:2:333,180,500,0,0,44,
0:0:2:347,180,500,0,0,42,
0:0:2:360,180,500,0,1,47,
0:0:2:372,180,500,0,0,42,
0:0:2:385,180,500,0,8,43,
0:0:2:399,180,500,0,0,45,
0:0:2:411,180,500,0,1,42,
0:0:2:424,180,500,0,0,44,
0:0:2:438,180,500,0,16,47,
0:0:2:451,180,500,0,0,41,
0:0:2:464,180,500,0,0,45,
0:0:2:478,180,500,0,0,40,
0:0:2:490,180,500,5,1,44,
0:0:2:503,180,500,15,0,45,
0:0:2:516,180,500,34,1,41,
0:0:2:530,180,500,60,21,46,
0:0:2:543,180,500,82,16,45,
0:0:2:556,180,500,104,7,44,
0:0:2:570,180,500,117,15,45,
0:0:2:583,180,500,117,17,43,
0:0:2:596,180,500,122,20,45,
0:0:2:610,180,500,124,5,43,
0:0:2:623,180,500,127,8,47,
0:0:2:636,180,500,129,4,44,
0:0:2:650,180,500,135,11,44,
0:0:2:663,180,500,135,4,42,
0:0:2:676,180,500,140,12,46,
0:0:2:689,180,500,138,4,44,
0:0:2:702,180,500,134,0,43,
0:0:2:715,180,500,135,1,45,
0:0:2:728,180,500,134,0,43,
0:0:2:742,180,500,136,0,44,
0:0:2:755,180,500,141,16,47,
0:0:2:768,180,500,139,0,46,
0:0:2:782,180,500,139,0,44,
0:0:2:795,180,500,141,0,40,
0:0:2:808,180,500,139,0,43,
0:0:2:822,180,500,140,0,46,
0:0:2:835,180,500,140,0,43,
0:0:2:847,180,500,141,0,42,
0:0:2:861,180,500,136,0,42,
0:0:2:874,180,500,134,0,40,
0:0:2:887,180,500,135,0,37,
0:0:2:899,180,500,132,0,33,
0:0:2:912,180,500,133,0,31,
0:0:2:925,180,500,132,19,25,
0:0:2:937,180,500,139,0,23,
0:0:2:950,180,500,135,8,22,
0:0:2:963,180,500,134,0,20,
0:0:2:975,180,500,138,0,20,
0:0:2:988,180,500,134,1,20,
0:0:3:1,180,500,134,0,20,
0:0:3:13,180,500,142,0,20,
0:0:3:25,180,500,135,20,20,
0:0:3:38,180,500,137,0,20,
0:0:3:50,180,500,131,0,20,
0:0:3:63,180,500,131,0,20,
0:0:3:76,180,500,135,0,21,
0:0:3:88,180,500,130,0,20,
0:0:3:100,180,500,136,0,20,
0:0:3:113,180,500,141,0,20,
0:0:3:126,180,500,139,0,22,
0:0:3:138,180,500,141,3,21,
0:0:3:151,180,500,139,0,20,
0:0:3:164,180,500,140,0,20,
0:0:3:176,180,500,137,0,20,
0:0:3:189,180,500,142,0,20,
0:0:3:202,180,500,141,3,20,
0:0:3:215,180,500,140,0,21,
0:0:3:227,180,500,136,0,20,
0:0:3:239,180,500,140,0,20,
0:0:3:253,180,500,139,0,21,
0:0:3:265,180,500,136,0,20,
0:0:3:277,180,500,139,0,20,
0:0:3:291,180,500,137,0,20,
0:0:3:303,180,500,136,0,20,
0:0:3:315,180,500,143,3,22,
0:0:3:329,180,500,145,1,20,
0:0:3:341,180,500,143,1,20,
0:0:3:353,180,500,135,0,21,
0:0:3:365,180,500,133,2,20,
0:0:3:379,180,500,137,16,20,
0:0:3:391,180,500,134,1,21,
0:0:3:404,180,500,131,0,20,
0:0:3:417,180,500,132,0,21,
0:0:3:429,180,500,125,0,20,
0:0:3:442,180,500,114,0,20,
0:0:3:454,180,500,100,21,20,
0:0:3:467,180,500,85,20,20,
0:0:3:480,180,500,63,8,20,
0:0:3:492,180,500,43,8,20,
0:0:3:505,180,500,29,10,22,
0:0:3:518,180,500,15,15,20,
0:0:3:530,180,500,7,0,20,
0:0:3:543,180,500,3,5,21,
0:0:3:555,180,500,0,5,22,
0:0:3:567,180,500,0,20,21,
0:0:3:580,180,500,0,1,20,
0:0:3:592,180,500,0,4,20,
0:0:3:604,180,500,0,16,20,
0:0:3:617,180,500,0,0,20,
0:0:3:630,180,500,1,1,21,
0:0:3:642,180,500,1,4,20,
0:0:3:654,180,500,0,0,20,
0:0:3:666,180,500,0,0,20,
0:0:3:680,180,500,4,0,20,
0:0:3:692,180,500,4,0,20,
0:0:3:704,180,500,3,0,22,
0:0:3:717,180,500,2,0,31,
0:0:3:730,180,500,1,0,37,
0:0:3:742,180,500,0,0,40,
0:0:3:755,180,500,0,0,42,
0:0:3:768,180,500,1,1,41,
0:0:3:781,180,500,1,8,42,
0:0:3:794,180,500,0,0,44,
0:0:3:808,180,500,2,0,46,
0:0:3:820,180,500,1,0,41,
0:0:3:833,180,500,0,0,43,
0:0:3:847,180,500,0,28,45,
0:0:3:860,180,500,0,0,43,
0:0:3:872,180,500,3,0,42,
0:0:3:886,180,500,2,0,42,
0:0:3:899,180,500,1,3,40,
0:0:3:912,180,500,3,0,43,
0:0:3:926,180,500,2,0,43,
0:0:3:938,180,500,0,0,42,
0:0:3:951,180,500,2,0,43,
0:0:3:964,180,500,1,0,41,
0:0:3:978,180,500,2,0,43,
0:0:3:990,180,500,2,0,42,
0:0:4:3,180,500,1,0,43,
0:0:4:17,180,500,0,0,44,
0:0:4:30,180,500,0,0,39,
0:0:4:42,180,500,0,0,42,
0:0:4:56,180,500,0,0,42,
0:0:4:69,180,500,3,0,44,
0:0:4:81,180,500,2,1,41,
0:0:4:94,180,500,1,0,44,
0:0:4:108,180,500,3,0,40,
0:0:4:121,180,500,5,0,42,
0:0:4:133,180,500,5,0,42,
