Time Elapsed,MaxAngle,Delay Time,Servo Position,Contact Value,Hand Position
0:0:4:405,180,200,122,16,20,
0:0:4:417,180,200,115,0,21,
0:0:4:429,180,200,108,0,20,
0:0:4:443,180,200,104,0,21,
0:0:4:455,180,200,91,16,20,
0:0:4:467,180,200,81,21,20,
0:0:4:480,180,200,79,13,20,
0:0:4:493,180,200,72,8,20,
0:0:4:505,180,200,57,0,20,
0:0:4:517,180,200,49,7,20,
0:0:4:531,180,200,37,7,20,
0:0:4:543,180,200,20,13,20,
0:0:4:555,180,200,19,8,20,
0:0:4:569,180,200,17,7,20,
0:0:4:581,180,200,11,15,20,
0:0:4:593,180,200,9,7,20,
0:0:4:605,180,200,6,1,20,
0:0:4:619,180,200,3,15,20,
0:0:4:631,180,200,2,0,20,
0:0:4:643,180,200,1,3,20,
0:0:4:656,180,200,2,0,20,
0:0:4:669,180,200,2,0,20,
0:0:4:681,180,200,1,0,20,
0:0:4:694,180,200,0,0,20,
0:0:4:706,180,200,0,0,20,
0:0:4:718,180,200,0,0,20,
0:0:4:731,180,200,0,0,20,
0:0:4:744,180,200,0,0,20,
0:0:4:756,180,200,0,0,20,
0:0:4:768,180,200,0,1,20,
0:0:4:781,180,200,0,0,20,
0:0:4:793,180,200,0,0,20,
0:0:4:805,180,200,0,3,20,
0:0:4:818,180,200,0,0,20,
0:0:4:831,180,200,0,0,20,
0:0:4:843,180,200,0,0,20,
0:0:4:855,180,200,0,3,20,
0:0:4:868,180,200,0,0,20,
0:0:4:880,180,200,0,0,20,
0:0:4:892,180,200,0,0,20,
0:0:4:905,180,200,0,0,20,
0:0:4:918,180,200,0,0,20,
0:0:4:930,180,200,0,0,20,
0:0:4:942,180,200,0,0,20,
0:0:4:955,180,200,0,0,20,
0:0:4:967,180,200,0,0,20,
0:0:4:979,180,200,0,0,20,
0:0:4:993,180,200,0,0,20,
0:0:5:5,180,200,0,0,20,
0:0:5:17,180,200,0,0,20,
0:0:5:29,180,200,0,0,20,
0:0:5:42,180,200,0,0,20,
0:0:5:54,180,200,0,0,20,
0:0:5:66,180,200,0,0,20,
0:0:5:79,180,200,0,8,20,
0:0:5:91,180,200,0,0,20,
0:0:5:104,180,200,0,7,20,
0:0:5:116,180,200,0,0,20,
0:0:5:129,180,200,0,0,20,
0:0:5:141,180,200,0,0,20,
0:0:5:153,180,200,0,0,20,
0:0:5:166,180,200,0,0,20,
0:0:5:178,180,200,0,0,20,
0:0:5:191,180,200,0,0,20,
0:0:5:202,180,200,0,0,20,
0:0:5:215,180,200,0,0,20,
0:0:5:227,180,200,0,0,20,
0:0:5:240,180,200,0,0,20,
0:0:5:253,180,200,0,0,20,
0:0:5:264,180,200,0,0,20,
0:0:5:276,180,200,0,0,20,
0:0:5:289,180,200,0,0,20,
0:0:5:302,180,200,0,0,20,
0:0:5:314,180,200,0,0,20,
0:0:5:326,180,200,0,0,20,
0:0:5:339,180,200,0,0,20,
0:0:5:351,180,200,0,0,20,
0:0:5:363,180,200,0,0,20,
0:0:5:377,180,200,0,0,20,
0:0:5:389,180,200,0,0,20,
0:0:5:401,180,200,0,0,20,
0:0:5:413,180,200,0,0,20,
0:0:5:426,180,200,0,0,20,
0:0:5:438,180,200,0,0,20,
0:0:5:450,180,200,0,0,20,
0:0:5:464,180,200,0,0,20,
0:0:5:476,180,200,0,0,20,
0:0:5:488,180,200,0,0,20,
0:0:5:500,180,200,0,0,20,
0:0:5:513,180,200,0,0,20,
0:0:5:525,180,200,0,0,20,
0:0:5:537,180,200,0,0,20,
0:0:5:551,180,200,0,0,20,
0:0:5:563,180,200,0,0,20,
0:0:5:575,180,200,0,0,20,
0:0:5:587,180,200,0,0,20,
0:0:5:600,180,200,0,0,20,
0:0:5:612,180,200,0,0,20,
0:0:5:624,180,200,0,0,20,
0:0:5:638,180,200,0,0,20,
0:0:5:650,180,200,0,0,20,
0:0:5:662,180,200,0,0,20,
0:0:5:675,180,200,0,0,20,
0:0:5:687,180,200,0,0,20,
0:0:5:699,180,200,0,0,20,
0:0:5:711,180,200,0,0,20,
0:0:5:725,180,200,0,0,20,
0:0:5:737,180,200,0,0,20,
0:0:5:749,180,200,0,0,20,
0:0:5:762,180,200,0,0,20,
0:0:5:774,180,200,0,0,20,
0:0:5:786,180,200,0,0,20,
0:0:5:798,180,200,0,0,20,
0:0:5:812,180,200,0,0,20,
0:0:5:824,180,200,0,0,20,
